platform,item_id,title,author,publisher,price,original_price,comment_count,rating,crawl_time
toscrape,A Light in the Attic,A Light in the Attic,,,51.77,0.0,0,3.0,2026-07-23T08:58:57.191768
toscrape,Tipping the Velvet,Tipping the Velvet,,,53.74,0.0,0,1.0,2026-07-23T08:58:57.191792
toscrape,Soumission,Soumission,,,50.1,0.0,0,1.0,2026-07-23T08:58:57.191797
toscrape,Sharp Objects,Sharp Objects,,,47.82,0.0,0,4.0,2026-07-23T08:58:57.191800
toscrape,Sapiens: A Brief History of Humankind,Sapiens: A Brief History of Humankind,,,54.23,0.0,0,5.0,2026-07-23T08:58:57.191803
toscrape,The Requiem Red,The Requiem Red,,,22.65,0.0,0,1.0,2026-07-23T08:58:57.191807
toscrape,The Dirty Little Secrets of Getting Your Dream Job,The Dirty Little Secrets of Getting Your Dream Job,,,33.34,0.0,0,4.0,2026-07-23T08:58:57.191809
toscrape,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",,,17.93,0.0,0,3.0,2026-07-23T08:58:57.191812
toscrape,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,,,22.6,0.0,0,4.0,2026-07-23T08:58:57.191814
toscrape,The Black Maria,The Black Maria,,,52.15,0.0,0,1.0,2026-07-23T08:58:57.191817
toscrape,"Starving Hearts (Triangular Trade Trilogy, #1)","Starving Hearts (Triangular Trade Trilogy, #1)",,,13.99,0.0,0,2.0,2026-07-23T08:58:57.191820
toscrape,Shakespeare's Sonnets,Shakespeare's Sonnets,,,20.66,0.0,0,4.0,2026-07-23T08:58:57.191822
toscrape,Set Me Free,Set Me Free,,,17.46,0.0,0,5.0,2026-07-23T08:58:57.191825
toscrape,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),,,52.29,0.0,0,5.0,2026-07-23T08:58:57.191828
toscrape,Rip it Up and Start Again,Rip it Up and Start Again,,,35.02,0.0,0,5.0,2026-07-23T08:58:57.191830
toscrape,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",,,57.25,0.0,0,3.0,2026-07-23T08:58:57.191833
toscrape,Olio,Olio,,,23.88,0.0,0,1.0,2026-07-23T08:58:57.191835
toscrape,Mesaerion: The Best Science Fiction Stories 1800-1849,Mesaerion: The Best Science Fiction Stories 1800-1849,,,37.59,0.0,0,1.0,2026-07-23T08:58:57.191838
toscrape,Libertarianism for Beginners,Libertarianism for Beginners,,,51.33,0.0,0,2.0,2026-07-23T08:58:57.191840
toscrape,It's Only the Himalayas,It's Only the Himalayas,,,45.17,0.0,0,2.0,2026-07-23T08:58:57.191843
toscrape,In Her Wake,In Her Wake,,,12.84,0.0,0,1.0,2026-07-23T08:58:57.191846
toscrape,How Music Works,How Music Works,,,37.32,0.0,0,2.0,2026-07-23T08:58:57.191848
toscrape,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",,,30.52,0.0,0,3.0,2026-07-23T08:58:57.191851
